Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,,,,
3,"C5, C6, C21",0.1uF,805,C0805C104K5RACTU,Kemet,DK,399-1170-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,,,,
1,R17,0.2,R2512,RL2512FK-070R2L,Yageo,DK,311-0.2TCT-ND,RES SMD 0.2 OHM 1% 1W 2512,,,,
1,C15,0.22uF,805,,,,,,,,,
7,"R8, R10, R11, R16, R12, R13, R14",1k,805,ERJ-6GEYJ102V,Panasonic Electronic Components,DK,P1.0KACT-ND,RES SMD 1K OHM 5% 1/8W 0805,,,,
2,"C9, C13",1uF,805,,,,,,,,,
1,R9,2.2k,805,ERJ-6GEYJ222V,Panasonic Electronic Components,DK,P2.2KACT-ND,RES SMD 2.2K OHM 5% 1/8W 0805,,,,
5,"R1, R2, R3, R4, R7",10K,805,RC0805FR-0710KL,Yageo,DK,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,,,,
6,"C7, C14, C16, C17, C18, C19",10UF,EIA3216,F931C106MAA,AVX Corporation,DK,478-8237-1-ND,CAP TANT 10UF 16V 20% 1206,,,,
5,"R15,R18,  R19, R20, R23, R24",10k,805,RC0805FR-0710KL,Yageo,DK,311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,,,,
1,R25,12k,805,RC0805JR-0712KL,Yageo,DK,311-12KARCT-ND,RES SMD 12K OHM 5% 1/8W 0805,,,,
1,R26,20k,805,RC0805FR-0720KL,Yageo,DK,311-20.0KCRCT-ND,RES SMD 20K OHM 1% 1/8W 0805,,,,
1,R6,68k,805,RC0805JR-0768KL,Yageo,DK,311-68KARCT-ND,RES SMD 68K OHM 5% 1/8W 0805,,,,
3,"C1, C10, C11",100nF,805,,,,,,,,,
1,C4,100uF,EIA3216,,,,,,,,,
1,R22,240,805,RC0805JR-07240RL,Yageo,DK,311-240ARCT-ND,RES SMD 240 OHM 5% 1/8W 0805,,,,
1,C12,470nF,805,,,,,,,,,
1,C8,470uF,805,,,,,,,,,
1,R21,620,805,RC0805JR-07620RL,Yageo,DK,311-620ARCT-ND,RES SMD 620 OHM 5% 1/8W 0805,,,,
1,IC1,7805,TO252,MC7805BDTRKG,ON Semiconductor,DK,MC7805BDTRKGOSCT-ND,IC REG LDO 5V 1A DPAK,,,,
1,U$1,AUDIO-JACK3,AUDIO-JACK-TRRS-SMD,,,,,,,,,
1,U6,AZ1117CD-ADJTRG1,V-REG_DPACK,AZ1117CD-ADJTRG1,Diodes Incorporated,DK,AZ1117CD-ADJTRG1DICT-ND,IC REG LDO ADJ 0.8A TO252-2,,,,
1,L2,BLM18EG221TN1D,603,BLM18EG221TN1D,Murata Electronics North America,DK,490-5979-1-ND,FERRITE CHIP 220 OHM 1A 0603,,,,
2,"L3, L4",BLM18HG102SN1D,603,BLM18HG102SN1D,Murata Electronics North America,DK,490-1034-1-ND,FERRITE CHIP 1000 OHM 100MA 0603,,,,
1,U4,BQ24005PWP,HTSSOP-20,BQ24005PWPR,Texas Instruments,DK,296-25921-1-ND,IC LI-ION CHARGE MGMT 20-HTSSOP,,,,
3,"Q1, Q2, Q3",BSS123,SOT23-3,BSS123L,Fairchild Semiconductor,DK,BSS123LCT-ND,MOSFET N-CH 100V 0.17A SOT-23,,,,
1,U2,LM4875MX,SO-8,LM4875MX/NOPB,Texas Instruments,DK,296-35282-1-ND,IC AMP AUDIO PWR 1W MONO 8SOIC,,,,
1,S1,NO,TACTILE-PTH-SIDEEZ,EVQ-PF008K,Panasonic Electronic Components,DK,P10880S-ND,SWITCH TACTILE SPST-NO 0.02A 15V,,,,
1,U3,PIC16F721,SSOP-20,PIC16F721-I/SS,Microchip Technology,DK,PIC16F721-I/SS-ND,IC MCU 8BIT 7KB FLASH 20SSOP,,,,
1,J1,POWER_JACKPTH,POWER_JACK_PTH,PJ-037A,CUI Inc.,DK,CP-037A-ND,CON PWR JCK 2.0 X 6.5MM W/O SW,,,,
1,U$2,PTR901-2015K-B103,PTR901-2015K-B103,PTR901-2015K-B103,Bourns,DK,PTR901-2015K-B103-ND,POT 10K OHM 1/20W CARBON LINEAR,,,,
1,LED1,RGBLED_CA-5MM,LED5MMRGB,WP154A4SUREQBFZGW,Kingbright,DK,754-1492-ND,LED RGB DIFF 5MM ROUND T/H,,,,
1,ANT1,SMA,CONSMA002,CONSMA002,Linx Technologies Inc.,DK,CONSMA002-ND,CONN SMA JACK R/A 50 OHM PCB,,,,
,,,,,,,,,,,,
